Row.ID,Date,Plot,Species,Species_Code,Unique.Plant.ID,Life_Form,Per_Cover,Density,Per_Bud,Per_FL,Per_Fru,Per_Bare,Pre_Litter,NOTES
244,9/19/21,AMCO.10B,,ERLE,AMCO.10B,GRASS,2,2,,0,100,85,13,
245,9/19/21,AMCO.10B,,SIDA,AMCO.10B,FORB,3,3,,0,100,85,13,
246,9/19/21,AMCO.10B,,BOER,AMCO.10B,GRASS,2,1,,0,100,85,13,
247,9/19/21,AMCO.10B,,PAVI,AMCO.10B,GRASS,3,1,,0,100,85,13,
248,9/19/21,AMCO.10B,,CHOLLA,AMCO.10B,CACTUS,3,2,,0,0,85,13,
249,9/19/21,AMCO.10B,,FAKE SIDA,AMCO.10B,FORB,3,2,,0,100,85,13,
260,9/19/21,AMCO.11B,,HETEROPOGON,AMCO.11B,GRASS,2,2,,100,100,10,70,
261,9/19/21,AMCO.11B,,AMCO,AMCO.11B,FORB,3,3,,100,100,10,70,
262,9/19/21,AMCO.11B,,AMPA,AMCO.11B,FORB,3,2,,0,100,10,70,
263,9/19/21,AMCO.11B,,CHHY,AMCO.11B,FORB,4,3,,0,100,10,70,
264,9/19/21,AMCO.11B,,ERLE,AMCO.11B,GRASS,2,4,,0,100,10,70,
265,9/19/21,AMCO.11B,,CAER,AMCO.11B,SHRUB,30,2,,0,0,10,70,
266,9/19/21,AMCO.11B,,PAVI,AMCO.11B,GRASS,2,2,,0,100,10,70,
267,9/19/21,AMCO.11B,,BOER,AMCO.11B,GRASS,2,2,,0,100,10,70,
268,9/19/21,AMCO.11B,,SIDA,AMCO.11B,FORB,3,3,,0,100,10,70,
269,9/19/21,AMCO.11B,,UNK. FABACEA,AMCO.11B,FORB,3,1,,0,100,10,70,
270,9/19/21,AMCO.11B,,POUM,AMCO.11B,FORB,1,1,,0,100,10,70,
271,9/19/21,AMCO.11B,,BOAR,AMCO.11B,GRASS,3,3,,0,100,10,70,
272,9/19/21,AMCO.11B,,URAR,AMCO.11B,GRASS,2,2,,0,100,10,70,
273,9/19/21,AMCO.11B,,MOVE,AMCO.11B,FORB,3,3,,0,100,10,70,
1166,9/21/21,AMCO.12A,,AMCO,AMCO.12A,FORB,10,6,,100,100,5,90,
1167,9/21/21,AMCO.12A,,ERLE,AMCO.12A,GRASS,20,8,,0,100,5,90,
1168,9/21/21,AMCO.12A,,KAGR,AMCO.12A,FORB,3,2,,0,100,5,90,
1169,9/21/21,AMCO.12A,,SIDA,AMCO.12A,FORB,2,3,,0,100,5,90,
1170,9/21/21,AMCO.12A,,URAR,AMCO.12A,GRASS,3,1,,0,100,5,90,
1171,9/21/21,AMCO.12A,,POUM,AMCO.12A,FORB,1,1,,0,100,5,90,
1172,9/21/21,AMCO.12A,,MOVE,AMCO.12A,FORB,10,20,,0,100,5,90,
1173,9/21/21,AMCO.13A,,AMCO,AMCO.13A,FORB,8,3,,100,100,20,70,
1174,9/21/21,AMCO.13A,,SAIB,AMCO.13A,FORB,5,2,,100,100,20,70,
1175,9/21/21,AMCO.13A,,DICA,AMCO.13A,GRASS,6,1,,0,100,20,70,
1176,9/21/21,AMCO.13A,,SIDA,AMCO.13A,FORB,2,4,,0,100,20,70,
