Unique.Plant.YR.ID,Unique.Plant.ID,Year,Row.ID,Species,ID,Leaf.Sample,Unique.Sample.ID,Leaf.wet.mass.g,Leaf.dry.mass.g,Leaf.thickness.mm,Image.ID,Leaf.area.mm2,Sample.Date,Bud_Num,Flower_Num,FL_2_dia,Total_Inflor_Height_cm,Fruit_Num,Infor_Culm_Num,TOTAL_Reproduction,Phen_Score.y,Seed_mass_g.x,Height.cm.y,Width.long.cm.y,Width.90.cm.y,Num.Stem_repo_Culm.y,Herb_Score.y,Above.wet.biomass.g,Below.wet.biomass.g,Root.depth.cm,Root.lateral.cm,Above.dry.biomass.g,Below.dry.biomass.g,stem.1.dia.1.mm,stem.1.dia.2.mm,stem.1.length.mm,stem.1.wet.mass.g,stem.1.dry.mass.g,stem.2.dia.1.mm,stem.2.dia.2.mm,stem.2.length.mm,stem.2.wet.mass.g,stem.2.dry.mass.g,root.seg.dia.1.mm,root.seg.dia.2.mm,root.seg.length.mm,root.seg.wet.mass.g,root.seg.dry.mass.g,total.SLA.leaves.wet.mass.g,total.SLA.leaves.dry.mass.g,total.above.wet.mass.g,total.above.dry.mass.g,total.below.wet.mass.g,total.below.dry.mass.g,Scientific_Name,Life.form,Plant.Family,Native.Exotic,Life.History,NOTES,lat,lon,elev,block,Neighbor.Density,Shannon.index,Diversity,stem.volume.mm3,stem.dry.density.g.mm3,root.volume.mm3,root.dry.density.g.mm3,LDMC.dry.wet,SLA
SIDA_3A_2021,SIDA_3A,2021,399,SIDA,3A,2,SIDA_3A_2,0.044,0.0182,0.24,IMG134,2.053,9/3/21,74,0,0,230,12,1,86,4,0.00117,24,58,47,1,1,15.9,2,2.1,1.4,6.9,0.9,1.3,1.24,30.1,0.028,0.0173,NA,NA,NA,NA,NA,4.3,3.3,24.02,0.28,0.1426,0.074,0.0312,16.002,6.9485,2.28,1.0426,Sida.abutifolia,Forb,Malvaceae,Exotic,Either,NA,31.81945701,-111.510811,1074.959106,9,15,1.945910149,7,38.1297378,0.000453714,272.4144105,0.000523467,0.413636364,112.8021978
SIDA_3A_2021,SIDA_3A,2021,398,SIDA,3A,1,SIDA_3A_1,0.03,0.013,0.21,IMG133,1.73,9/3/21,74,0,0,230,12,1,86,4,0.00117,24,58,47,1,1,15.9,2,2.1,1.4,6.9,0.9,1.3,1.24,30.1,0.028,0.0173,NA,NA,NA,NA,NA,4.3,3.3,24.02,0.28,0.1426,0.074,0.0312,16.002,6.9485,2.28,1.0426,Sida.abutifolia,Forb,Malvaceae,Exotic,Either,NA,31.81945701,-111.510811,1074.959106,9,15,1.945910149,7,38.1297378,0.000453714,272.4144105,0.000523467,0.433333333,133.0769231
MATA_5A_2021,MATA_5A,2021,344,MATA,5A,2,MATA_5A_2,0.021,0.0076,0.4,IMG027,0.883,8/20/21,16,1,25,165,0,1,17,4,NA,14.5,12,11,1,0,2.3,0.061,2.54,4.8,0.6,0.018,1.59,1.52,13.05,0.027,0.0122,NA,NA,NA,NA,NA,1.59,1.64,9.08,0.011,0.0088,0.039,0.0132,2.366,0.6254,0.072,0.0268,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81552104,-111.510973,1077.300659,7,49,2.708050201,15,24.78341674,0.000492265,18.60033573,0.00047311,0.361904762,116.1842105
MATA_5A_2021,MATA_5A,2021,343,MATA,5A,1,MATA_5A_1,0.018,0.0056,0.31,IMG028,1.177,8/20/21,16,1,25,165,0,1,17,4,NA,14.5,12,11,1,0,2.3,0.061,2.54,4.8,0.6,0.018,1.59,1.52,13.05,0.027,0.0122,NA,NA,NA,NA,NA,1.59,1.64,9.08,0.011,0.0088,0.039,0.0132,2.366,0.6254,0.072,0.0268,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81552104,-111.510973,1077.300659,7,49,2.708050201,15,24.78341674,0.000492265,18.60033573,0.00047311,0.311111111,210.1785714
MATA_6B_2021,MATA_6B,2021,348,MATA,6B,2,MATA_6B_2,0.008,0.0019,0.26,IMG076,0.264,8/30/21,17,5,28,325,3,1,25,5,NA,31.7,27,22.8,1,1,9.4,0.414,2.7,4.1,3.1,0.118,2.67,2.76,31.05,0.189,0.0803,NA,NA,NA,NA,NA,2.65,3.16,17.02,0.122,0.0566,0.018,0.0042,9.607,3.1845,0.536,0.1746,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81709097,-111.511743,1066.8479,6,51,1.791759469,6,179.7592112,0.000446709,112.8084704,0.000501735,0.2375,138.9473684
MATA_6B_2021,MATA_6B,2021,347,MATA,6B,1,MATA_6B_1,0.01,0.0023,0.3,IMG075,0.392,8/30/21,17,5,28,325,3,1,25,5,NA,31.7,27,22.8,1,1,9.4,0.414,2.7,4.1,3.1,0.118,2.67,2.76,31.05,0.189,0.0803,NA,NA,NA,NA,NA,2.65,3.16,17.02,0.122,0.0566,0.018,0.0042,9.607,3.1845,0.536,0.1746,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81709097,-111.511743,1066.8479,6,51,1.791759469,6,179.7592112,0.000446709,112.8084704,0.000501735,0.23,170.4347826
MATA_7B_2021,MATA_7B,2021,349,MATA,7B,2,MATA_7B_2,0.026,0.0067,0.24,IMG078,1.176,8/30/21,27,7,32,365,4,1,38, 5/6,NA,35,33,18,1,1,9,0.199,2.9,5,3.5,0.069,2.56,2.54,39.31,0.209,0.0887,NA,NA,NA,NA,NA,2.15,1.75,18.68,0.062,0.0284,0.038,0.0101,9.247,3.5988,0.261,0.0974,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.816996,-111.511701,1070.221924,6,136,2.197224577,9,200.7581967,0.000441825,55.78738132,0.000509076,0.257692308,175.5223881
MATA_7B_2021,MATA_7B,2021,350,MATA,7B,1,MATA_7B_1,0.012,0.0034,0.3,IMG077,0.631,8/30/21,27,7,32,365,4,1,38, 5/6,NA,35,33,18,1,1,9,0.199,2.9,5,3.5,0.069,2.56,2.54,39.31,0.209,0.0887,NA,NA,NA,NA,NA,2.15,1.75,18.68,0.062,0.0284,0.038,0.0101,9.247,3.5988,0.261,0.0974,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.816996,-111.511701,1070.221924,6,136,2.197224577,9,200.7581967,0.000441825,55.78738132,0.000509076,0.283333333,185.5882353
MATA_6A_2021,MATA_6A,2021,346,MATA,6A,1,MATA_6A_1,0.023,0.01,0.25,IMG060,0.986,8/24/21,5,1,22,185,1,1,7,5,NA,17.5,17.5,10.5,1,0,2.5,0.056,4.4,1.5,0.9,0.0148,1.43,1.69,29.7,0.08,0.0383,NA,NA,NA,NA,NA,1.25,1.47,19.67,0.034,0.0169,0.045,0.0198,2.625,0.9581,0.09,0.0317,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81548701,-111.511869,1060.381348,3,48,2.197224577,9,56.76694562,0.000674688,28.57406695,0.000591445,0.434782609,98.6
MATA_6A_2021,MATA_6A,2021,345,MATA,6A,2,MATA_6A_2,0.022,0.0098,0.19,IMG059,1.183,8/24/21,5,1,22,185,1,1,7,5,NA,17.5,17.5,10.5,1,0,2.5,0.056,4.4,1.5,0.9,0.0148,1.43,1.69,29.7,0.08,0.0383,NA,NA,NA,NA,NA,1.25,1.47,19.67,0.034,0.0169,0.045,0.0198,2.625,0.9581,0.09,0.0317,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81548701,-111.511869,1060.381348,3,48,2.197224577,9,56.76694562,0.000674688,28.57406695,0.000591445,0.445454545,120.7142857
AMCO_927_2020,AMCO_927,2020,427,AMCO,927,1,AMCO.927.1,0.045,0.022,0.58,2020_09_11/IMG_0006,1.372,9/10/20,0,0,NA,NA,0,2,0,2,NA,11.1,5.2,4.9,2,1,2.37,0.24,5.3,4.6,0.79,0.1,1,2.1,20.8,0.106,0.041,NA,NA,NA,NA,NA,2,2,8.2,0.039,0.011,0.097,0.047,2.573,0.878,0.279,0.111,Ambrosia.confertiflora,Forb,Asteraceae,Native,Perennial,NA,31.81586201,-111.511727,1081.769409,2,24,1.386294361,4,39.24791702,0.001044641,25.76105976,0.000427001,0.488888889,62.36363636
AMCO_927_2020,AMCO_927,2020,428,AMCO,927,2,AMCO.927.2,0.052,0.025,0.6,2020_09_11/IMG_0007,1.777,9/10/20,0,0,NA,NA,0,2,0,2,NA,11.1,5.2,4.9,2,1,2.37,0.24,5.3,4.6,0.79,0.1,1,2.1,20.8,0.106,0.041,NA,NA,NA,NA,NA,2,2,8.2,0.039,0.011,0.097,0.047,2.573,0.878,0.279,0.111,Ambrosia.confertiflora,Forb,Asteraceae,Native,Perennial,NA,31.81586201,-111.511727,1081.769409,2,24,1.386294361,4,39.24791702,0.001044641,25.76105976,0.000427001,0.480769231,71.08
KAGR_1970_2020,KAGR_1970,2020,462,KAGR,1970,2,KAGR.1970.2,0.062,0.018,0.26,2020_09_12/IMG_0002,2.324,9/10/20,4,1,NA,4.5,0,2,10,4,NA,5.8,8.9,6,2,1,1.16,0.96,5.5,1.8,0.24,0.026,1.7,1.6,8.3,0.021,0.005,NA,NA,NA,NA,NA,1.2,1.3,7.7,0.013,0.006,0.159,0.039,1.34,0.284,0.973,0.032,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81712802,-111.51057,1073.027588,2,13,1.609437912,5,17.74744595,0.000281731,9.449321653,0.000634966,0.290322581,129.1111111
KAGR_1970_2020,KAGR_1970,2020,461,KAGR,1970,1,KAGR.1970.1,0.097,0.021,0.28,2020_09_12/IMG_0001,2.844,9/10/20,4,1,NA,4.5,0,2,10,4,NA,5.8,8.9,6,2,1,1.16,0.96,5.5,1.8,0.24,0.026,1.7,1.6,8.3,0.021,0.005,NA,NA,NA,NA,NA,1.2,1.3,7.7,0.013,0.006,0.159,0.039,1.34,0.284,0.973,0.032,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81712802,-111.51057,1073.027588,2,13,1.609437912,5,17.74744595,0.000281731,9.449321653,0.000634966,0.216494845,135.4285714
MATA_33_2020,MATA_33,2020,624,MATA,33,2,MATA.33.2,0.009,0.0044,0.2,2020_09_29/IMG_0028,0.291,9/16/20,1,0,NA,23.5,0,1,1,3,NA,26.1,20.6,17.8,1,1,14.13,0.67,5.5,3.4,4.9,0.26,3.92,3.48,25.23,0.319,0.145,NA,NA,NA,NA,NA,2.76,2.43,11.58,0.055,0.027,0.019,0.0088,14.468,5.0538,0.725,0.287,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81552397,-111.510095,1081.305542,4,32,1.386294361,4,271.2755046,0.000534512,61.24535624,0.00044085,0.488888889,66.13636364
